Rank,Country/territory,Continent,hosp_beds_per_1000_2013,hosp_beds_per_1000_2014,hosp_beds_per_1000_2015,hosp_beds_per_1000_2016,hosp_beds_per_1000_2017,Occupancy_percent,"ICU-CCB_beds_per_100000",Ventilators
1, Japan,Asia,13.3,13.21,13.17,13.11,13.05,75.5,7.3[16],Unknown
2, South Korea,Asia,10.92,11.59,11.61,11.98,12.27,,10.6[16],"9,795[17]"
3, Russia,Europe,9.07,8.81,8.35,8.16,8.05,,8.3[18],"40,000[19]"
4, Germany,Europe,8.28,8.23,8.13,8.06,8,79.8,29.2[20],"25,000[21]"
5, Austria,Europe,7.64,7.58,7.54,7.42,7.37,73.8,21.8[20],"2,500[22]"
6, Hungary,Europe,7.04,6.98,6.99,7,7.02,65.5,13.8[20],"15,500"
7, Czech Republic,Europe,6.7,6.68,6.67,6.66,6.63,70.1,11.6[20],Unknown
8, Poland,Europe,6.61,6.63,6.63,6.64,6.62,,6.9[20],"10,100[23][24]"
9, Lithuania,Europe,7.28,7.22,6.97,6.69,6.56,73.2,15.5[20],Unknown
10, France,Europe,6.28,6.2,6.13,6.06,5.98,75.6,11.6[20],Unknown
11, Slovakia,Europe,5.8,5.79,5.75,5.78,5.82,67.8,9.2[20],Unknown
12, Belgium,Europe,5.93,5.85,5.83,5.76,5.76,81.8,15.9[20],Unknown
13, Latvia,Europe,5.8,5.66,5.69,5.72,5.57,71.1,9.7[20],Unknown
14, Hong Kong,Asia,5.4,5.4,5.4,,,,7.1[16],Unknown
15, Estonia,Europe,5.01,5.01,4.96,4.76,4.69,70.4,14.6[20],Unknown
16, Luxembourg,Europe,5.17,5.05,4.93,4.81,4.66,70.7,24.8[20],Unknown
17,  Switzerland,Europe,4.68,4.58,4.58,4.55,4.53,82,11.0[20],Unknown
18, Slovenia,Europe,4.55,4.54,4.51,4.49,4.5,69.5,6.4[20],Unknown
19, China,Asia,3.31,3.57,3.82,4.05,4.34,,3.6[16],Unknown
20, Greece,Europe,4.24,4.24,4.25,4.2,4.21,61.6,6[20],Unknown
21, Australia,Oceania,3.74,3.79,3.82,3.84,,,9.1[25],1314[26]
22, Norway,Europe,3.86,3.84,3.76,3.68,3.6,80.7,8[20],800[27]
23, Portugal,Europe,3.39,3.32,3.37,3.39,3.39,66.8,4.2[20],"1,400[28]"
24, Netherlands,Europe,4.18,,3.52,3.44,3.32,65.4,6.4[20],Unknown
25, Finland,Europe,4.87,4.53,4.35,3.97,3.28,,6.1[20],Unknown
26, Italy,Europe,3.31,3.21,3.2,3.17,3.18,78.9,12.5[20],"3,000[29]"
27, Iceland,Europe,3.22,3.16,3.12,3.13,3.06,,9.1[20],Unknown
28, Israel,Asia,3.09,3.08,3.03,2.99,3.02,93.3,,Unknown
29, Spain,Europe,2.96,2.97,2.98,2.97,2.97,75.3,9.7[20],Unknown
30, Ireland,Europe,2.56,2.57,2.92,2.97,2.96,94.9,6.5[20],Unknown
31, Turkey,Europe,2.65,2.68,2.68,2.75,2.81,68,47[30],Unknown
32, United States,North America,2.89,2.83,2.8,2.77,,64,34.7[31],"68,000[19]"
33, New Zealand,Oceania,2.78,2.75,2.71,2.73,2.71,,,520[33]
34, Denmark,Europe,3.07,2.69,2.53,2.6,2.61,,6.7[20],Unknown
35, United Kingdom,Europe,2.76,2.73,2.61,2.57,2.54,84.3,6.6[20],"8,175[19]"
36, Canada,North America,2.71,2.67,2.61,2.58,2.52,91.6,13.5[34],Unknown
37, Sweden,Europe,2.59,2.54,2.44,2.34,2.22,,5.8[20],Unknown
38, Chile,South America,2.16,2.11,2.14,2.12,2.11,79.1,,Unknown
39, Colombia,South America,1.54,1.59,1.61,1.68,1.7,,,Unknown
40, India,Asia,,,,,,,5.2,Unknown
41, Mexico,North America,1.44,1.43,1.39,1.39,1.38,74, 1.2[35][36],2050[37]
